,County,Region,Intakes,Completed Investigations,Confirmed Investigations
1,ANDERSON,004,8,6,2
2,ANDREWS,009,0,0,0
3,ANGELINA,005,260,243,42
4,ARANSAS,011,0,0,0
5,ARCHER,002,1,1,0
6,ARMSTRONG,001,0,0,0
7,ATASCOSA,008,2,2,0
8,AUSTIN,006,4,2,0
9,BAILEY,001,0,0,0
10,BANDERA,008,0,0,0
11,BASTROP,007,13,13,0
12,BAYLOR,002,0,0,0
13,BEE,011,1,1,1
14,BELL,007,76,61,11
15,BEXAR,008,1189,1083,128
16,BLANCO,007,0,0,0
17,BORDEN,009,0,0,0
18,BOSQUE,007,0,0,0
19,BOWIE,004,8,6,1
20,BRAZORIA,006,41,41,4
21,BRAZOS,007,35,34,3
22,BREWSTER,010,0,0,0
23,BRISCOE,001,0,0,0
24,BROOKS,011,0,0,0
25,BROWN,002,27,26,8
26,BURLESON,007,1,1,0
27,BURNET,007,5,4,3
28,CALDWELL,007,12,9,0
29,CALHOUN,008,8,6,0
30,CALLAHAN,002,0,0,0
31,CAMERON,011,298,265,16
32,CAMP,004,0,0,0
33,CARSON,001,0,0,0
34,CASS,004,3,2,1
35,CASTRO,001,0,0,0
36,CHAMBERS,006,0,0,0
37,CHEROKEE,004,566,526,33
38,CHILDRESS,001,0,0,0
39,CLAY,002,0,0,0
40,COCHRAN,001,0,0,0
41,COKE,009,0,0,0
42,COLEMAN,002,0,0,0
43,COLLIN,003,75,76,2
44,COLLINGSWORTH,001,0,0,0
45,COLORADO,006,0,0,0
46,COMAL,008,49,41,5
47,COMANCHE,002,0,0,0
48,CONCHO,009,0,0,0
49,COOKE,003,0,0,0
50,CORYELL,007,4,3,0
51,COTTLE,002,0,0,0
52,CRANE,009,0,0,0
53,CROCKETT,009,0,0,0
54,CROSBY,001,0,0,0
55,CULBERSON,010,0,0,0
56,DALLAM,001,0,0,0
57,DALLAS,003,388,373,30
58,DAWSON,009,0,0,0
59,DEAF SMITH,001,1,2,1
60,DELTA,004,0,0,0
61,DENTON,003,515,489,29
62,DEWITT,008,0,0,0
63,DICKENS,001,0,0,0
64,DIMMIT,008,1,0,0
65,DONLEY,001,0,0,0
66,DUVAL,011,1,1,0
67,EASTLAND,002,20,20,5
68,ECTOR,009,13,4,0
69,EDWARDS,008,0,0,0
70,ELLIS,003,13,11,2
71,EL PASO,010,359,336,40
72,ERATH,003,14,14,2
73,FALLS,007,0,0,0
74,FANNIN,003,0,0,0
75,FAYETTE,007,2,2,0
76,FISHER,002,0,0,0
77,FLOYD,001,0,0,0
78,FOARD,002,0,0,0
79,FORT BEND,006,260,241,27
80,FRANKLIN,004,3,2,0
81,FREESTONE,007,4,3,0
82,FRIO,008,0,0,0
83,GAINES,009,0,0,0
84,GALVESTON,006,25,27,3
85,GARZA,001,0,0,0
86,GILLESPIE,008,1,1,0
87,GLASSCOCK,009,0,0,0
88,GOLIAD,008,0,0,0
89,GONZALES,008,1,0,0
90,GRAY,001,4,4,0
91,GRAYSON,003,28,26,2
92,GREGG,004,115,106,8
93,GRIMES,007,0,0,0
94,GUADALUPE,008,25,24,3
95,HALE,001,6,4,1
96,HALL,001,0,0,0
97,HAMILTON,007,0,0,0
98,HANSFORD,001,0,0,0
99,HARDEMAN,002,0,0,0
100,HARDIN,005,14,13,7
101,HARRIS,006,478,437,48
102,HARRISON,004,1,1,1
103,HARTLEY,001,0,0,0
104,HASKELL,002,0,0,0
105,HAYS,007,69,58,7
106,HEMPHILL,001,0,0,0
107,HENDERSON,004,3,7,0
108,HIDALGO,011,51,48,5
109,HILL,007,0,0,0
110,HOCKLEY,001,18,17,5
111,HOOD,003,7,7,0
112,HOPKINS,004,6,3,0
113,HOUSTON,005,0,0,0
114,HOWARD,009,402,388,12
115,HUDSPETH,010,0,0,0
116,HUNT,003,26,16,4
117,HUTCHINSON,001,2,2,1
118,IRION,009,0,0,0
119,JACK,002,0,0,0
120,JACKSON,008,0,0,0
121,JASPER,005,2,1,0
122,JEFF DAVIS,010,0,0,0
123,JEFFERSON,005,170,151,40
124,JIM HOGG,011,0,0,0
125,JIM WELLS,011,1,1,0
126,JOHNSON,003,53,52,11
127,JONES,002,3,2,0
128,KARNES,008,0,0,0
129,KAUFMAN,003,213,185,8
130,KENDALL,008,0,0,0
131,KENEDY,011,0,0,0
132,KENT,002,0,0,0
133,KERR,008,56,53,12
134,KIMBLE,009,0,0,0
135,KING,001,0,0,0
136,KINNEY,008,0,0,0
137,KLEBERG,011,1,0,0
138,KNOX,002,0,0,0
139,LAMAR,004,24,23,2
140,LAMB,001,0,0,0
141,LAMPASAS,007,0,0,0
142,LASALLE,008,0,0,0
143,LAVACA,008,0,0,0
144,LEE,007,2,1,1
145,LEON,007,0,2,0
146,LIBERTY,006,3,2,1
147,LIMESTONE,007,641,590,40
148,LIPSCOMB,001,0,0,0
149,LIVE OAK,011,0,0,0
150,LLANO,007,0,0,0
151,LOVING,009,0,0,0
152,LUBBOCK,001,541,514,60
153,LYNN,001,0,0,0
154,MADISON,007,2,2,0
155,MARION,004,0,0,0
156,MARTIN,009,0,0,0
157,MASON,009,0,0,0
158,MATAGORDA,006,3,3,0
159,MAVERICK,008,4,2,0
160,MCCULLOCH,009,0,0,0
161,MCLENNAN,007,150,132,15
162,MCMULLEN,011,0,0,0
163,MEDINA,008,5,2,0
164,MENARD,009,0,0,0
165,MIDLAND,009,38,36,6
166,MILAM,007,0,0,0
167,MILLS,007,1,0,0
168,MITCHELL,002,0,0,0
169,MONTAGUE,002,0,0,0
170,MONTGOMERY,006,69,61,7
171,MOORE,001,0,0,0
172,MORRIS,004,0,0,0
173,MOTLEY,001,0,0,0
174,NACOGDOCHES,005,6,12,4
175,NAVARRO,003,50,45,10
176,NEWTON,005,0,0,0
177,NOLAN,002,3,3,0
178,NUECES,011,721,641,39
179,OCHILTREE,001,1,0,0
180,OLDHAM,001,0,0,0
181,ORANGE,005,12,16,6
182,PALO PINTO,003,3,1,0
183,PANOLA,004,0,0,0
184,PARKER,003,4,5,0
185,PARMER,001,0,0,0
186,PECOS,009,1,1,0
187,POLK,005,4,5,1
188,POTTER,001,18,15,2
189,PRESIDIO,010,0,0,0
190,RAINS,004,1,1,0
191,RANDALL,001,105,99,21
192,REAGAN,009,0,0,0
193,REAL,008,0,0,0
194,RED RIVER,004,1,0,0
195,REEVES,009,0,0,0
196,REFUGIO,011,0,0,0
197,ROBERTS,001,0,0,0
198,ROBERTSON,007,0,0,0
199,ROCKWALL,003,1,1,1
200,RUNNELS,002,0,0,0
201,RUSK,004,2,2,0
202,SABINE,005,0,0,0
203,SAN AUGUSTINE,005,3,2,1
204,SAN JACINTO,005,0,0,0
205,SAN PATRICIO,011,6,7,0
206,SAN SABA,007,0,0,0
207,SCHLEICHER,009,0,0,0
208,SCURRY,002,0,0,0
209,SHACKELFORD,002,0,1,0
210,SHELBY,005,8,4,2
211,SHERMAN,001,0,0,0
212,SMITH,004,59,42,7
213,SOMERVELL,003,0,0,0
214,STARR,011,3,2,0
