,County,Region,Totals,Hispanic,Anglo,African American,Other**,Asian,Native American
1,ANDERSON,004,17,4,6,7,0,0,0
2,ANDREWS,009,5,4,1,0,0,0,0
3,ANGELINA,005,13,1,4,8,0,0,0
4,ARANSAS,011,24,13,9,0,2,0,0
5,ARCHER,002,0,0,0,0,0,0,0
6,ARMSTRONG,001,0,0,0,0,0,0,0
7,ATASCOSA,008,49,32,17,0,0,0,0
8,AUSTIN,006,3,0,2,1,0,0,0
9,BAILEY,001,5,5,0,0,0,0,0
10,BANDERA,008,11,0,10,0,1,0,0
11,BASTROP,007,65,14,34,9,8,0,0
12,BAYLOR,002,3,2,0,1,0,0,0
13,BEE,011,18,14,4,0,0,0,0
14,BELL,007,98,27,36,27,8,0,0
15,BEXAR,008,895,660,114,92,29,0,0
16,BLANCO,007,3,1,2,0,0,0,0
17,BORDEN,009,0,0,0,0,0,0,0
18,BOSQUE,007,10,5,4,0,1,0,0
19,BOWIE,004,22,7,9,5,1,0,0
20,BRAZORIA,006,39,8,26,2,3,0,0
21,BRAZOS,007,32,8,12,11,1,0,0
22,BREWSTER,010,0,0,0,0,0,0,0
23,BRISCOE,001,3,0,3,0,0,0,0
24,BROOKS,011,2,2,0,0,0,0,0
25,BROWN,002,20,3,13,0,2,0,2
26,BURLESON,007,4,1,3,0,0,0,0
27,BURNET,007,14,2,12,0,0,0,0
28,CALDWELL,007,15,11,3,1,0,0,0
29,CALHOUN,008,5,3,2,0,0,0,0
30,CALLAHAN,002,1,0,0,1,0,0,0
31,CAMERON,011,39,36,3,0,0,0,0
32,CAMP,004,2,0,0,2,0,0,0
33,CARSON,001,1,0,1,0,0,0,0
34,CASS,004,9,1,6,2,0,0,0
35,CASTRO,001,6,5,0,1,0,0,0
36,CHAMBERS,006,5,0,3,0,2,0,0
37,CHEROKEE,004,28,5,17,3,3,0,0
38,CHILDRESS,001,2,0,2,0,0,0,0
39,CLAY,002,2,0,2,0,0,0,0
40,COCHRAN,001,1,1,0,0,0,0,0
41,COKE,009,0,0,0,0,0,0,0
42,COLEMAN,002,4,1,3,0,0,0,0
43,COLLIN,003,57,10,37,3,7,0,0
44,COLLINGSWORTH,001,2,0,1,1,0,0,0
45,COLORADO,006,6,3,1,2,0,0,0
46,COMAL,008,65,39,24,0,2,0,0
47,COMANCHE,002,1,1,0,0,0,0,0
48,CONCHO,009,1,0,1,0,0,0,0
49,COOKE,003,14,1,12,1,0,0,0
50,CORYELL,007,19,3,12,2,1,1,0
51,COTTLE,002,0,0,0,0,0,0,0
52,CRANE,009,0,0,0,0,0,0,0
53,CROCKETT,009,1,0,1,0,0,0,0
54,CROSBY,001,10,7,1,0,2,0,0
55,CULBERSON,010,0,0,0,0,0,0,0
56,DALLAM,001,3,3,0,0,0,0,0
57,DALLAS,003,495,172,82,204,33,4,0
58,DAWSON,009,12,8,4,0,0,0,0
59,DEAF SMITH,001,15,12,3,0,0,0,0
60,DELTA,004,2,0,2,0,0,0,0
61,DENTON,003,99,18,46,23,9,3,0
62,DE WITT,008,22,14,6,2,0,0,0
63,DICKENS,001,4,3,1,0,0,0,0
64,DIMMIT,008,16,16,0,0,0,0,0
65,DONLEY,001,4,0,3,0,0,0,1
66,DUVAL,011,9,6,3,0,0,0,0
67,EASTLAND,002,4,0,3,0,1,0,0
68,ECTOR,009,93,43,37,10,3,0,0
69,EDWARDS,008,5,5,0,0,0,0,0
70,ELLIS,003,12,1,8,3,0,0,0
71,EL PASO,010,149,116,22,7,3,0,1
72,ERATH,003,9,6,3,0,0,0,0
73,FALLS,007,4,2,0,2,0,0,0
74,FANNIN,003,0,0,0,0,0,0,0
75,FAYETTE,007,7,4,2,0,1,0,0
76,FISHER,002,0,0,0,0,0,0,0
77,FLOYD,001,7,6,1,0,0,0,0
78,FOARD,002,1,0,1,0,0,0,0
79,FORT BEND,006,18,8,2,6,2,0,0
80,FRANKLIN,004,2,0,2,0,0,0,0
81,FREESTONE,007,6,0,6,0,0,0,0
82,FRIO,008,21,21,0,0,0,0,0
83,GAINES,009,7,4,3,0,0,0,0
84,GALVESTON,006,44,5,22,14,3,0,0
85,GARZA,001,6,3,3,0,0,0,0
86,GILLESPIE,008,12,9,3,0,0,0,0
87,GLASSCOCK,009,0,0,0,0,0,0,0
88,GOLIAD,008,0,0,0,0,0,0,0
89,GONZALES,008,17,11,5,0,1,0,0
90,GRAY,001,12,4,6,1,1,0,0
91,GRAYSON,003,21,4,14,2,1,0,0
92,GREGG,004,53,6,20,19,8,0,0
93,GRIMES,007,8,0,6,2,0,0,0
94,GUADALUPE,008,21,14,5,2,0,0,0
95,HALE,001,22,17,2,3,0,0,0
96,HALL,001,4,3,0,1,0,0,0
97,HAMILTON,007,2,0,2,0,0,0,0
98,HANSFORD,001,4,4,0,0,0,0,0
99,HARDEMAN,002,0,0,0,0,0,0,0
100,HARDIN,005,7,0,6,1,0,0,0
101,HARRIS,006,1016,291,152,510,59,4,0
102,HARRISON,004,11,4,6,0,1,0,0
103,HARTLEY,001,0,0,0,0,0,0,0
104,HASKELL,002,0,0,0,0,0,0,0
105,HAYS,007,39,27,11,1,0,0,0
106,HEMPHILL,001,1,1,0,0,0,0,0
107,HENDERSON,004,28,2,23,0,3,0,0
108,HIDALGO,011,48,46,1,0,1,0,0
109,HILL,007,16,1,11,1,3,0,0
110,HOCKLEY,001,19,12,4,3,0,0,0
111,HOOD,003,25,0,25,0,0,0,0
112,HOPKINS,004,10,1,6,3,0,0,0
113,HOUSTON,005,9,0,4,5,0,0,0
114,HOWARD,009,31,14,13,4,0,0,0
115,HUDSPETH,010,0,0,0,0,0,0,0
116,HUNT,003,20,2,11,4,3,0,0
117,HUTCHINSON,001,9,2,7,0,0,0,0
118,IRION,009,0,0,0,0,0,0,0
119,JACK,002,0,0,0,0,0,0,0
120,JACKSON,008,6,0,6,0,0,0,0
121,JASPER,005,9,1,5,3,0,0,0
122,JEFF DAVIS,010,0,0,0,0,0,0,0
123,JEFFERSON,005,69,1,21,43,4,0,0
124,JIM HOGG,011,1,1,0,0,0,0,0
125,JIM WELLS,011,19,15,4,0,0,0,0
126,JOHNSON,003,69,7,46,3,13,0,0
127,JONES,002,1,1,0,0,0,0,0
128,KARNES,008,14,11,0,2,1,0,0
129,KAUFMAN,003,18,1,14,1,2,0,0
130,KENDALL,008,9,4,5,0,0,0,0
131,KENEDY,011,0,0,0,0,0,0,0
132,KENT,002,0,0,0,0,0,0,0
133,KERR,008,46,13,30,3,0,0,0
134,KIMBLE,009,6,3,3,0,0,0,0
135,KING,001,0,0,0,0,0,0,0
136,KINNEY,008,0,0,0,0,0,0,0
137,KLEBERG,011,10,9,0,1,0,0,0
138,KNOX,002,2,0,0,2,0,0,0
139,LAMAR,004,12,4,3,2,3,0,0
140,LAMB,001,13,11,1,1,0,0,0
141,LAMPASAS,007,14,6,4,3,0,0,1
142,LA SALLE,008,8,8,0,0,0,0,0
143,LAVACA,008,9,2,4,3,0,0,0
144,LEE,007,10,0,6,3,1,0,0
145,LEON,007,4,0,2,0,2,0,0
146,LIBERTY,006,23,1,21,1,0,0,0
147,LIMESTONE,007,8,0,3,1,4,0,0
148,LIPSCOMB,001,0,0,0,0,0,0,0
149,LIVE OAK,011,4,2,2,0,0,0,0
150,LLANO,007,7,0,7,0,0,0,0
151,LOVING,009,0,0,0,0,0,0,0
152,LUBBOCK,001,172,86,37,35,14,0,0
153,LYNN,001,2,2,0,0,0,0,0
154,MADISON,007,0,0,0,0,0,0,0
155,MARION,004,0,0,0,0,0,0,0
156,MARTIN,009,0,0,0,0,0,0,0
157,MASON,009,0,0,0,0,0,0,0
158,MATAGORDA,006,4,2,2,0,0,0,0
159,MAVERICK,008,5,4,1,0,0,0,0
160,MCCULLOCH,009,6,0,6,0,0,0,0
161,MCLENNAN,007,211,87,67,45,12,0,0
162,MCMULLEN,011,0,0,0,0,0,0,0
163,MEDINA,008,50,37,12,0,1,0,0
164,MENARD,009,2,2,0,0,0,0,0
165,MIDLAND,009,28,5,13,5,5,0,0
166,MILAM,007,23,4,11,5,3,0,0
167,MILLS,007,0,0,0,0,0,0,0
168,MITCHELL,002,1,1,0,0,0,0,0
169,MONTAGUE,002,10,0,9,0,1,0,0
170,MONTGOMERY,006,102,18,64,13,7,0,0
171,MOORE,001,5,1,2,2,0,0,0
172,MORRIS,004,0,0,0,0,0,0,0
173,MOTLEY,001,0,0,0,0,0,0,0
174,NACOGDOCHES,005,40,2,22,11,5,0,0
175,NAVARRO,003,11,4,2,3,1,1,0
176,NEWTON,005,6,0,0,5,1,0,0
177,NOLAN,002,7,7,0,0,0,0,0
178,NUECES,011,82,63,13,3,3,0,0
179,OCHILTREE,001,1,1,0,0,0,0,0
180,OLDHAM,001,0,0,0,0,0,0,0
181,ORANGE,005,22,1,19,1,1,0,0
182,PALO PINTO,003,33,11,18,3,1,0,0
183,PANOLA,004,4,0,4,0,0,0,0
184,PARKER,003,36,4,27,1,4,0,0
185,PARMER,001,4,3,1,0,0,0,0
186,PECOS,009,2,2,0,0,0,0,0
187,POLK,005,7,0,7,0,0,0,0
188,POTTER,001,99,45,33,20,1,0,0
189,PRESIDIO,010,0,0,0,0,0,0,0
190,RAINS,004,6,1,2,0,3,0,0
191,RANDALL,001,36,10,17,3,6,0,0
192,REAGAN,009,1,0,1,0,0,0,0
193,REAL,008,4,2,2,0,0,0,0
194,RED RIVER,004,5,1,4,0,0,0,0
195,REEVES,009,3,3,0,0,0,0,0
196,REFUGIO,011,0,0,0,0,0,0,0
197,ROBERTS,001,0,0,0,0,0,0,0
198,ROBERTSON,007,1,0,0,1,0,0,0
199,ROCKWALL,003,1,0,1,0,0,0,0
200,RUNNELS,002,6,1,5,0,0,0,0
201,RUSK,004,9,0,4,0,5,0,0
202,SABINE,005,1,0,1,0,0,0,0
203,SAN AUGUSTINE,005,2,0,2,0,0,0,0
204,SAN JACINTO,005,3,0,2,0,1,0,0
205,SAN PATRICIO,011,31,22,7,1,1,0,0
206,SAN SABA,007,11,0,10,1,0,0,0
207,SCHLEICHER,009,0,0,0,0,0,0,0
208,SCURRY,002,3,1,1,0,1,0,0
209,SHACKELFORD,002,0,0,0,0,0,0,0
210,SHELBY,005,2,1,0,1,0,0,0
211,SHERMAN,001,0,0,0,0,0,0,0
212,SMITH,004,58,10,27,15,6,0,0
213,SOMERVELL,003,2,1,1,0,0,0,0
214,STARR,011,5,5,0,0,0,0,0
215,STEPHENS,002,5,5,0,0,0,0,0
216,STERLING,009,0,0,0,0,0,0,0
217,STONEWALL,002,0,0,0,0,0,0,0
218,SUTTON,009,0,0,0,0,0,0,0
219,SWISHER,001,9,7,0,2,0,0,0
220,TARRANT,003,231,54,78,75,20,4,0
221,TAYLOR,002,35,9,15,5,6,0,0
222,TERRELL,009,0,0,0,0,0,0,0
223,TERRY,001,14,14,0,0,0,0,0
224,THROCKMORTON,002,0,0,0,0,0,0,0
225,TITUS,004,11,3,5,1,2,0,0
226,TOM GREEN,009,110,71,35,1,3,0,0
227,TRAVIS,007,186,94,33,50,9,0,0
228,TRINITY,005,1,1,0,0,0,0,0
229,TYLER,005,4,1,2,0,1,0,0
230,UPSHUR,004,16,1,13,1,1,0,0
231,UPTON,009,2,2,0,0,0,0,0
232,UVALDE,008,15,14,1,0,0,0,0
233,VAL VERDE,008,9,9,0,0,0,0,0
234,VAN ZANDT,004,30,6,18,2,4,0,0
235,VICTORIA,008,43,31,6,2,4,0,0
236,WALKER,006,12,0,8,1,3,0,0
237,WALLER,006,3,2,1,0,0,0,0
238,WARD,009,3,1,0,2,0,0,0
239,WASHINGTON,007,10,4,5,1,0,0,0
240,WEBB,011,171,159,8,3,1,0,0
241,WHARTON,006,2,0,1,1,0,0,0
242,WHEELER,001,3,2,1,0,0,0,0
243,WICHITA,002,40,14,14,8,4,0,0
244,WILBARGER,002,8,8,0,0,0,0,0
245,WILLACY,011,6,6,0,0,0,0,0
246,WILLIAMSON,007,66,26,17,12,11,0,0
247,WILSON,008,16,10,6,0,0,0,0
248,WINKLER,009,1,0,1,0,0,0,0
249,WISE,003,13,0,11,0,2,0,0
250,WOOD,004,41,1,33,1,6,0,0
251,YOAKUM,001,4,4,0,0,0,0,0
252,YOUNG,002,0,0,0,0,0,0,0
253,ZAPATA,011,9,6,3,0,0,0,0
254,ZAVALA,008,11,11,0,0,0,0,0
255,STATE TOTAL,,6888,3018,2020,1429,399,17,5
