,County,Total,African American,Anglo,Hispanic,Native American,Other***
1,ANDERSON,14,6,5,3,0,0
2,ANDREWS,10,0,3,7,0,0
3,ANGELINA,7,0,6,1,0,0
4,ARANSAS,10,0,7,3,0,0
5,ARCHER,0,0,0,0,0,0
6,ARMSTRONG,0,0,0,0,0,0
7,ATASCOSA,33,0,13,20,0,0
8,AUSTIN,0,0,0,0,0,0
9,BAILEY,8,0,1,7,0,0
10,BANDERA,18,0,13,5,0,0
11,BASTROP,20,3,9,5,0,3
12,BAYLOR,0,0,0,0,0,0
13,BEE,15,0,1,14,0,0
14,BELL,115,40,38,28,0,9
15,BEXAR,917,116,97,689,0,15
16,BLANCO,1,0,0,1,0,0
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,2,0,0,2,0,0
19,BOWIE,17,1,12,0,0,4
20,BRAZORIA,26,2,9,12,0,3
21,BRAZOS,39,16,14,9,0,0
22,BREWSTER,0,0,0,0,0,0
23,BRISCOE,0,0,0,0,0,0
24,BROOKS,7,0,0,7,0,0
25,BROWN,15,1,11,2,0,1
26,BURLESON,11,1,8,2,0,0
27,BURNET,6,0,3,3,0,0
28,CALDWELL,12,0,5,7,0,0
29,CALHOUN,1,0,1,0,0,0
30,CALLAHAN,1,0,1,0,0,0
31,CAMERON,44,0,1,43,0,0
32,CAMP,7,5,2,0,0,0
33,CARSON,0,0,0,0,0,0
34,CASS,5,1,4,0,0,0
35,CASTRO,0,0,0,0,0,0
36,CHAMBERS,3,2,1,0,0,0
37,CHEROKEE,23,9,13,0,0,1
38,CHILDRESS,6,0,2,3,0,1
39,CLAY,2,0,2,0,0,0
40,COCHRAN,1,0,0,0,0,1
41,COKE,2,0,1,1,0,0
42,COLEMAN,5,0,2,3,0,0
43,COLLIN,56,11,25,11,0,9
44,COLLINGSWORTH,0,0,0,0,0,0
45,COLORADO,6,6,0,0,0,0
46,COMAL,24,0,10,14,0,0
47,COMANCHE,1,0,1,0,0,0
48,CONCHO,1,0,1,0,0,0
49,COOKE,20,2,18,0,0,0
50,CORYELL,7,2,1,1,0,3
51,COTTLE,0,0,0,0,0,0
52,CRANE,0,0,0,0,0,0
53,CROCKETT,0,0,0,0,0,0
54,CROSBY,2,0,0,2,0,0
55,CULBERSON,0,0,0,0,0,0
56,DALLAM,3,0,0,3,0,0
57,DALLAS,439,185,79,154,0,21
58,DAWSON,14,0,0,13,0,1
59,DEAF SMITH,13,0,3,10,0,0
60,DELTA,1,1,0,0,0,0
61,DENTON,92,30,32,16,0,14
62,DEWITT,22,5,1,14,0,2
63,DICKENS,0,0,0,0,0,0
64,DIMMIT,18,0,0,17,1,0
65,DONLEY,3,0,2,0,0,1
66,DUVAL,6,0,0,6,0,0
67,EASTLAND,4,0,2,1,0,1
68,ECTOR,48,8,16,19,0,5
69,EDWARDS,14,0,0,13,0,1
70,ELLIS,7,1,5,1,0,0
71,EL PASO,134,5,17,109,0,3
72,ERATH,4,1,2,1,0,0
73,FALLS,7,5,2,0,0,0
74,FANNIN,1,0,1,0,0,0
75,FAYETTE,10,6,3,1,0,0
76,FISHER,0,0,0,0,0,0
77,FLOYD,2,0,0,2,0,0
78,FOARD,0,0,0,0,0,0
79,FORT BEND,20,10,2,7,0,1
80,FRANKLIN,0,0,0,0,0,0
81,FREESTONE,6,0,3,3,0,0
82,FRIO,13,0,2,11,0,0
83,GAINES,6,0,1,5,0,0
84,GALVESTON,32,10,11,10,0,1
85,GARZA,0,0,0,0,0,0
86,GILLESPIE,11,0,2,9,0,0
87,GLASSCOCK,0,0,0,0,0,0
88,GOLIAD,0,0,0,0,0,0
89,GONZALES,9,0,1,7,0,1
90,GRAY,18,0,13,5,0,0
91,GRAYSON,18,4,10,2,0,2
92,GREGG,68,21,31,12,0,4
93,GRIMES,13,1,8,4,0,0
94,GUADALUPE,46,4,7,34,0,1
95,HALE,12,0,1,11,0,0
96,HALL,3,1,2,0,0,0
97,HAMILTON,1,0,1,0,0,0
98,HANSFORD,0,0,0,0,0,0
99,HARDEMAN,0,0,0,0,0,0
100,HARDIN,6,0,6,0,0,0
101,HARRIS,1546,880,201,389,3,73
102,HARRISON,8,5,1,2,0,0
103,HARTLEY,0,0,0,0,0,0
104,HASKELL,0,0,0,0,0,0
105,HAYS,21,0,9,10,0,2
106,HEMPHILL,0,0,0,0,0,0
107,HENDERSON,16,1,13,0,0,2
108,HIDALGO,33,0,0,33,0,0
109,HILL,11,0,9,0,0,2
110,HOCKLEY,17,2,2,12,0,1
111,HOOD,8,2,5,1,0,0
112,HOPKINS,2,0,0,1,0,1
113,HOUSTON,8,2,5,1,0,0
114,HOWARD,19,0,10,8,0,1
115,HUDSPETH,0,0,0,0,0,0
116,HUNT,12,7,4,0,0,1
117,HUTCHINSON,10,0,2,8,0,0
118,IRION,0,0,0,0,0,0
119,JACK,1,0,1,0,0,0
120,JACKSON,1,0,0,1,0,0
121,JASPER,4,1,3,0,0,0
122,JEFF DAVIS,0,0,0,0,0,0
123,JEFFERSON,59,33,20,1,0,5
124,JIM HOGG,5,0,0,5,0,0
125,JIM WELLS,14,0,0,14,0,0
126,JOHNSON,52,6,35,7,0,4
127,JONES,3,0,1,2,0,0
128,KARNES,13,0,0,13,0,0
129,KAUFMAN,5,0,5,0,0,0
130,KENDALL,11,0,4,7,0,0
131,KENEDY,0,0,0,0,0,0
132,KENT,0,0,0,0,0,0
133,KERR,22,4,9,9,0,0
134,KIMBLE,2,0,2,0,0,0
135,KING,0,0,0,0,0,0
136,KINNEY,0,0,0,0,0,0
137,KLEBERG,10,0,2,8,0,0
138,KNOX,2,2,0,0,0,0
139,LAMAR,14,0,5,9,0,0
140,LAMB,3,0,0,3,0,0
141,LAMPASAS,6,0,2,4,0,0
142,LASALLE,9,0,0,9,0,0
143,LAVACA,2,0,0,2,0,0
144,LEE,11,8,2,1,0,0
145,LEON,5,0,3,0,0,2
146,LIBERTY,33,6,23,0,1,3
147,LIMESTONE,10,4,2,1,0,3
148,LIPSCOMB,4,0,4,0,0,0
149,LIVE OAK,5,0,1,3,0,1
150,LLANO,10,0,4,5,0,1
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,132,30,35,65,0,2
153,LYNN,1,0,1,0,0,0
154,MADISON,4,0,1,3,0,0
155,MARION,3,0,2,1,0,0
156,MARTIN,0,0,0,0,0,0
157,MASON,1,0,1,0,0,0
158,MATAGORDA,3,0,1,2,0,0
159,MAVERICK,4,0,1,3,0,0
160,MCCULLOCH,2,0,2,0,0,0
161,MCLENNAN,92,31,26,29,0,6
162,MCMULLEN,0,0,0,0,0,0
163,MEDINA,37,0,10,24,0,3
164,MENARD,6,0,3,3,0,0
165,MIDLAND,45,12,12,17,0,4
166,MILAM,17,0,12,5,0,0
167,MILLS,1,0,1,0,0,0
168,MITCHELL,5,0,0,5,0,0
169,MONTAGUE,8,0,7,0,0,1
170,MONTGOMERY,108,5,65,26,0,12
171,MOORE,7,2,4,1,0,0
172,MORRIS,3,0,2,1,0,0
173,MOTLEY,0,0,0,0,0,0
174,NACOGDOCHES,42,9,27,2,0,4
175,NAVARRO,23,3,13,6,0,1
176,NEWTON,3,0,3,0,0,0
177,NOLAN,2,0,1,1,0,0
178,NUECES,82,5,18,57,0,2
179,OCHILTREE,0,0,0,0,0,0
180,OLDHAM,0,0,0,0,0,0
181,ORANGE,22,1,16,4,0,1
182,PALO PINTO,8,0,4,2,0,2
183,PANOLA,2,0,2,0,0,0
184,PARKER,20,0,14,4,0,2
185,PARMER,3,0,2,1,0,0
186,PECOS,1,0,1,0,0,0
187,POLK,12,1,5,3,0,3
188,POTTER,45,14,19,10,1,1
189,PRESIDIO,0,0,0,0,0,0
190,RAINS,0,0,0,0,0,0
191,RANDALL,25,2,13,7,0,3
192,REAGAN,0,0,0,0,0,0
193,REAL,3,0,1,2,0,0
194,RED RIVER,6,1,5,0,0,0
195,REEVES,0,0,0,0,0,0
196,REFUGIO,0,0,0,0,0,0
197,ROBERTS,0,0,0,0,0,0
198,ROBERTSON,6,0,4,2,0,0
199,ROCKWALL,1,0,1,0,0,0
200,RUNNELS,3,0,1,2,0,0
201,RUSK,6,3,3,0,0,0
202,SABINE,0,0,0,0,0,0
203,SAN AUGUSTINE,0,0,0,0,0,0
204,SAN JACINTO,7,2,4,0,0,1
205,SAN PATRICIO,11,2,2,7,0,0
206,SAN SABA,1,0,1,0,0,0
207,SCHLEICHER,0,0,0,0,0,0
208,SCURRY,2,0,1,1,0,0
209,SHACKELFORD,0,0,0,0,0,0
210,SHELBY,7,4,0,2,0,1
211,SHERMAN,0,0,0,0,0,0
212,SMITH,28,10,11,3,0,4
213,SOMERVELL,1,0,1,0,0,0
214,STARR,1,0,0,1,0,0
215,STEPHENS,1,0,1,0,0,0
216,STERLING,0,0,0,0,0,0
217,STONEWALL,0,0,0,0,0,0
218,SUTTON,0,0,0,0,0,0
219,SWISHER,6,4,0,2,0,0
220,TARRANT,248,70,83,63,0,32
221,TAYLOR,28,6,11,7,0,4
