,County,Region,CBCAP*,TFTS**,CBFS***,Total
1,ANDERSON,004,0,0,0,0
2,ANDREWS,009,0,0,0,0
3,ANGELINA,005,0,0,0,0
4,ARANSAS,011,0,0,0,0
5,ARCHER,002,0,0,0,0
6,ARMSTRONG,001,0,0,0,0
7,ATASCOSA,008,0,0,0,0
8,AUSTIN,006,0,0,0,0
9,BAILEY,001,0,0,0,0
10,BANDERA,008,0,0,0,0
11,BASTROP,007,0,0,0,0
12,BAYLOR,002,0,0,0,0
13,BEE,011,0,0,0,0
14,BELL,007,0,3,0,3
15,BEXAR,008,469,558,257,1284
16,BLANCO,007,1,0,0,1
17,BORDEN,009,0,0,0,0
18,BOSQUE,007,0,0,0,0
19,BOWIE,004,0,0,0,0
20,BRAZORIA,006,0,0,0,0
21,BRAZOS,007,0,257,0,257
22,BREWSTER,010,0,0,0,0
23,BRISCOE,001,0,0,0,0
24,BROOKS,011,0,0,0,0
25,BROWN,002,0,111,15,126
26,BURLESON,007,0,8,0,8
27,BURNET,007,0,0,0,0
28,CALDWELL,007,0,0,0,0
29,CALHOUN,008,0,0,0,0
30,CALLAHAN,002,0,9,0,9
31,CAMERON,011,25,112,0,137
32,CAMP,004,0,0,0,0
33,CARSON,001,0,0,0,0
34,CASS,004,0,0,0,0
35,CASTRO,001,0,0,0,0
36,CHAMBERS,006,0,0,0,0
37,CHEROKEE,004,0,0,0,0
38,CHILDRESS,001,0,0,0,0
39,CLAY,002,0,0,0,0
40,COCHRAN,001,0,0,0,0
41,COKE,009,0,0,0,0
42,COLEMAN,002,0,9,4,13
43,COLLIN,003,0,0,0,0
44,COLLINGSWORTH,001,0,0,0,0
45,COLORADO,006,0,0,0,0
46,COMAL,008,0,0,0,0
47,COMANCHE,002,0,12,6,18
48,CONCHO,009,0,0,0,0
49,COOKE,003,0,0,0,0
50,CORYELL,007,0,0,0,0
51,COTTLE,002,0,0,0,0
52,CRANE,009,0,0,0,0
53,CROCKETT,009,0,0,0,0
54,CROSBY,001,0,0,0,0
55,CULBERSON,010,0,0,0,0
56,DALLAM,001,0,0,0,0
57,DALLAS,003,1,0,0,1
58,DAWSON,009,0,0,0,0
59,DEAF SMITH,001,0,0,0,0
60,DELTA,004,0,0,0,0
61,DENTON,003,0,0,0,0
62,DEWITT,008,0,0,0,0
63,DICKENS,001,0,0,0,0
64,DIMMIT,008,0,0,0,0
65,DONLEY,001,0,0,0,0
66,DUVAL,011,0,0,0,0
67,EASTLAND,002,0,15,2,17
68,ECTOR,009,0,0,0,0
69,EDWARDS,008,0,0,0,0
70,ELLIS,003,1,0,0,1
71,EL PASO,010,322,0,0,322
72,ERATH,003,0,0,0,0
73,FALLS,007,0,0,0,0
74,FANNIN,003,0,0,0,0
75,FAYETTE,007,0,0,0,0
76,FISHER,002,0,0,0,0
77,FLOYD,001,0,0,0,0
78,FOARD,002,0,0,0,0
79,FORT BEND,006,0,0,0,0
80,FRANKLIN,004,0,0,0,0
81,FREESTONE,007,0,0,0,0
82,FRIO,008,0,0,0,0
83,GAINES,009,0,0,0,0
84,GALVESTON,006,0,0,0,0
85,GARZA,001,0,0,0,0
86,GILLESPIE,008,0,0,0,0
87,GLASSCOCK,009,0,0,0,0
88,GOLIAD,008,0,0,0,0
89,GONZALES,008,0,0,0,0
90,GRAY,001,0,0,0,0
91,GRAYSON,003,0,0,0,0
92,GREGG,004,0,0,0,0
93,GRIMES,007,0,0,0,0
94,GUADALUPE,008,0,0,44,44
95,HALE,001,0,0,0,0
96,HALL,001,0,0,0,0
97,HAMILTON,007,0,0,0,0
98,HANSFORD,001,0,0,0,0
99,HARDEMAN,002,0,0,0,0
100,HARDIN,005,0,0,0,0
101,HARRIS,006,0,0,0,0
102,HARRISON,004,0,0,0,0
103,HARTLEY,001,0,0,0,0
104,HASKELL,002,0,0,0,0
105,HAYS,007,0,0,0,0
106,HEMPHILL,001,0,0,0,0
107,HENDERSON,004,0,0,0,0
108,HIDALGO,011,0,351,0,351
109,HILL,007,0,0,0,0
110,HOCKLEY,001,0,0,0,0
111,HOOD,003,0,0,0,0
112,HOPKINS,004,0,0,0,0
113,HOUSTON,005,0,0,0,0
114,HOWARD,009,0,0,0,0
115,HUDSPETH,010,0,0,0,0
116,HUNT,003,0,0,0,0
117,HUTCHINSON,001,0,0,0,0
118,IRION,009,0,0,0,0
119,JACK,002,0,0,0,0
120,JACKSON,008,0,0,0,0
121,JASPER,005,0,0,0,0
122,JEFF DAVIS,010,0,0,0,0
123,JEFFERSON,005,0,0,0,0
124,JIM HOGG,011,0,0,0,0
125,JIM WELLS,011,0,0,0,0
126,JOHNSON,003,0,0,0,0
127,JONES,002,0,0,0,0
128,KARNES,008,0,0,0,0
129,KAUFMAN,003,0,0,0,0
130,KENDALL,008,0,0,0,0
131,KENEDY,011,0,0,0,0
132,KENT,002,0,0,0,0
133,KERR,008,0,18,0,18
134,KIMBLE,009,0,0,0,0
135,KING,001,0,0,0,0
136,KINNEY,008,0,0,0,0
137,KLEBERG,011,0,0,0,0
138,KNOX,002,0,0,0,0
139,LAMAR,004,0,0,0,0
140,LAMB,001,0,0,0,0
141,LAMPASAS,007,0,0,0,0
142,LA SALLE,008,0,0,0,0
143,LAVACA,008,0,0,0,0
144,LEE,007,0,0,0,0
145,LEON,007,0,17,0,17
146,LIBERTY,006,0,0,0,0
147,LIMESTONE,007,0,0,0,0
148,LIPSCOMB,001,0,0,0,0
149,LIVE OAK,011,0,0,0,0
150,LLANO,007,0,0,0,0
151,LOVING,009,0,0,0,0
152,LUBBOCK,001,0,0,0,0
153,LYNN,001,0,0,0,0
154,MADISON,007,0,48,0,48
155,MARION,004,0,0,0,0
156,MARTIN,009,0,0,0,0
157,MASON,009,0,0,0,0
158,MATAGORDA,006,0,0,0,0
159,MAVERICK,008,0,0,0,0
