,County,Total,African American,Anglo,Hispanic,Native American,Other
1,ANDERSON,35,10,18,7,0,0
2,ANDREWS,19,0,9,10,0,0
3,ANGELINA,38,14,15,9,0,0
4,ARANSAS,48,4,16,25,0,3
5,ARCHER,0,0,0,0,0,0
6,ARMSTRONG,2,0,2,0,0,0
7,ATASCOSA,74,1,24,49,0,0
8,AUSTIN,7,5,2,0,0,0
9,BAILEY,4,0,1,3,0,0
10,BANDERA,23,0,19,2,0,2
11,BASTROP,70,16,29,23,0,2
12,BAYLOR,1,0,1,0,0,0
13,BEE,36,0,2,31,0,3
14,BELL,391,160,158,62,0,11
15,BEXAR,2046,291,215,1487,2,51
16,BLANCO,3,0,3,0,0,0
17,BORDEN,0,0,0,0,0,0
18,BOSQUE,15,0,11,4,0,0
19,BOWIE,73,21,48,2,0,2
20,BRAZORIA,122,25,58,34,0,5
21,BRAZOS,96,54,19,22,0,1
22,BREWSTER,0,0,0,0,0,0
23,BRISCOE,0,0,0,0,0,0
24,BROOKS,14,0,1,13,0,0
25,BROWN,28,5,16,4,0,3
26,BURLESON,13,4,6,3,0,0
27,BURNET,46,0,26,18,0,2
28,CALDWELL,38,1,14,23,0,0
29,CALHOUN,7,0,3,4,0,0
30,CALLAHAN,2,2,0,0,0,0
31,CAMERON,207,4,12,189,0,2
32,CAMP,27,8,15,4,0,0
33,CARSON,3,0,2,0,1,0
34,CASS,25,14,10,1,0,0
35,CASTRO,0,0,0,0,0,0
36,CHAMBERS,20,2,13,5,0,0
37,CHEROKEE,91,25,51,14,0,1
38,CHILDRESS,4,0,0,4,0,0
39,CLAY,3,0,3,0,0,0
40,COCHRAN,1,0,0,1,0,0
41,COKE,0,0,0,0,0,0
42,COLEMAN,18,0,14,3,0,1
43,COLLIN,191,40,87,51,0,13
44,COLLINGSWORTH,0,0,0,0,0,0
45,COLORADO,21,14,1,6,0,0
46,COMAL,93,6,45,38,0,4
47,COMANCHE,2,0,2,0,0,0
48,CONCHO,4,0,3,1,0,0
49,COOKE,39,1,30,5,0,3
50,CORYELL,80,23,40,9,2,6
51,COTTLE,0,0,0,0,0,0
52,CRANE,2,0,2,0,0,0
53,CROCKETT,0,0,0,0,0,0
54,CROSBY,2,0,0,2,0,0
55,CULBERSON,0,0,0,0,0,0
56,DALLAM,3,0,2,1,0,0
57,DALLAS,1586,677,333,514,10,52
58,DAWSON,13,3,3,7,0,0
59,DEAF SMITH,34,0,4,30,0,0
60,DELTA,7,2,5,0,0,0
61,DENTON,241,58,123,51,1,8
62,DEWITT,16,7,2,3,3,1
63,DICKENS,5,0,4,0,0,1
64,DIMMIT,28,0,5,23,0,0
65,DONLEY,5,1,2,2,0,0
66,DUVAL,18,0,4,13,0,1
67,EASTLAND,9,2,6,1,0,0
68,ECTOR,164,31,56,70,0,7
69,EDWARDS,5,0,0,4,1,0
70,ELLIS,45,3,26,14,0,2
71,EL PASO,268,36,26,196,0,10
72,ERATH,24,1,12,10,0,1
73,FALLS,11,9,1,1,0,0
74,FANNIN,15,2,10,3,0,0
75,FAYETTE,25,13,10,2,0,0
76,FISHER,1,0,1,0,0,0
77,FLOYD,14,0,2,10,0,2
78,FOARD,0,0,0,0,0,0
79,FORT BEND,82,36,11,32,0,3
80,FRANKLIN,3,1,2,0,0,0
81,FREESTONE,6,1,5,0,0,0
82,FRIO,29,0,3,26,0,0
83,GAINES,16,0,3,13,0,0
84,GALVESTON,124,59,43,19,0,3
85,GARZA,9,5,2,2,0,0
86,GILLESPIE,25,0,18,5,0,2
87,GLASSCOCK,0,0,0,0,0,0
88,GOLIAD,2,2,0,0,0,0
89,GONZALES,12,1,2,8,0,1
90,GRAY,74,7,49,18,0,0
91,GRAYSON,45,4,31,7,0,3
92,GREGG,105,36,49,12,0,8
93,GRIMES,9,2,6,1,0,0
94,GUADALUPE,88,23,26,39,0,0
95,HALE,48,2,3,42,0,1
96,HALL,5,0,4,1,0,0
97,HAMILTON,7,0,5,1,0,1
98,HANSFORD,3,0,0,3,0,0
99,HARDEMAN,0,0,0,0,0,0
100,HARDIN,10,3,4,0,0,3
101,HARRIS,2388,1270,381,676,3,58
102,HARRISON,51,16,23,7,0,5
103,HARTLEY,0,0,0,0,0,0
104,HASKELL,6,0,3,3,0,0
105,HAYS,82,9,32,41,0,0
106,HEMPHILL,1,0,1,0,0,0
107,HENDERSON,106,9,82,15,0,0
108,HIDALGO,614,5,22,581,1,5
109,HILL,18,3,10,3,0,2
110,HOCKLEY,21,5,8,8,0,0
111,HOOD,40,2,36,2,0,0
112,HOPKINS,29,4,21,2,0,2
113,HOUSTON,20,9,10,1,0,0
114,HOWARD,36,6,15,14,0,1
115,HUDSPETH,0,0,0,0,0,0
116,HUNT,100,24,56,14,0,6
117,HUTCHINSON,23,0,13,9,0,1
118,IRION,3,0,3,0,0,0
119,JACK,8,0,7,1,0,0
120,JACKSON,1,0,1,0,0,0
121,JASPER,8,0,8,0,0,0
122,JEFF DAVIS,0,0,0,0,0,0
123,JEFFERSON,126,78,32,12,0,4
124,JIM HOGG,9,0,5,4,0,0
125,JIM WELLS,58,1,1,54,0,2
126,JOHNSON,151,18,102,26,0,5
127,JONES,2,0,1,1,0,0
128,KARNES,17,4,6,6,0,1
129,KAUFMAN,64,11,47,2,0,4
130,KENDALL,26,0,13,13,0,0
131,KENEDY,1,1,0,0,0,0
132,KENT,0,0,0,0,0,0
133,KERR,76,13,34,28,0,1
134,KIMBLE,1,0,1,0,0,0
135,KING,0,0,0,0,0,0
136,KINNEY,2,0,2,0,0,0
137,KLEBERG,29,10,5,13,0,1
138,KNOX,0,0,0,0,0,0
139,LAMAR,61,11,31,16,0,3
140,LAMB,16,0,0,16,0,0
141,LAMPASAS,19,0,16,3,0,0
142,LASALLE,7,0,0,7,0,0
143,LAVACA,5,0,3,2,0,0
144,LEE,41,22,8,11,0,0
145,LEON,12,3,9,0,0,0
146,LIBERTY,108,17,77,10,0,4
147,LIMESTONE,19,7,5,7,0,0
148,LIPSCOMB,2,0,1,1,0,0
149,LIVE OAK,10,0,6,4,0,0
150,LLANO,23,1,14,6,0,2
151,LOVING,0,0,0,0,0,0
152,LUBBOCK,310,57,72,168,1,12
153,LYNN,4,0,2,2,0,0
154,MADISON,9,1,8,0,0,0
155,MARION,5,1,4,0,0,0
156,MARTIN,0,0,0,0,0,0
157,MASON,2,0,2,0,0,0
158,MATAGORDA,17,6,5,6,0,0
159,MAVERICK,11,1,0,10,0,0
160,MCCULLOCH,6,3,2,1,0,0
161,MCLENNAN,205,73,67,59,0,6
162,MCMULLEN,0,0,0,0,0,0
163,MEDINA,69,0,9,58,0,2
164,MENARD,8,0,6,1,0,1
165,MIDLAND,75,15,22,34,0,4
