,County,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***
1,ANDERSON,0,2,1
2,ANDREWS,0,1,1
3,ANGELINA,1,12,1
4,ARANSAS,1,3,2
5,ARCHER,0,0,0
6,ARMSTRONG,0,0,1
7,ATASCOSA,0,1,3
8,AUSTIN,0,1,2
9,BAILEY,0,2,0
10,BANDERA,0,2,0
11,BASTROP,1,4,7
12,BAYLOR,0,0,0
13,BEE,0,2,0
14,BELL,7,36,17
15,BEXAR,8,75,61
16,BLANCO,0,1,1
17,BORDEN,0,0,0
18,BOSQUE,0,2,1
19,BOWIE,0,10,4
20,BRAZORIA,4,22,11
21,BRAZOS,1,8,8
22,BREWSTER,0,0,2
23,BRISCOE,0,0,0
24,BROOKS,0,1,0
25,BROWN,0,7,1
26,BURLESON,0,2,3
27,BURNET,0,1,0
28,CALDWELL,0,4,3
29,CALHOUN,1,3,0
30,CALLAHAN,0,2,1
31,CAMERON,7,12,6
32,CAMP,0,1,2
33,CARSON,0,2,0
34,CASS,0,5,3
35,CASTRO,0,5,0
36,CHAMBERS,0,2,3
37,CHEROKEE,2,4,2
38,CHILDRESS,0,1,0
39,CLAY,0,5,0
40,COCHRAN,0,0,0
41,COKE,0,1,0
42,COLEMAN,0,1,0
43,COLLIN,2,26,4
44,COLLINGSWORTH,0,0,0
45,COLORADO,0,1,0
46,COMAL,0,8,3
47,COMANCHE,2,1,1
48,CONCHO,0,0,1
49,COOKE,0,1,1
50,CORYELL,1,4,4
51,COTTLE,0,0,0
52,CRANE,0,0,0
53,CROCKETT,0,0,0
54,CROSBY,0,0,3
55,CULBERSON,0,0,0
56,DALLAM,0,1,0
57,DALLAS,32,133,27
58,DAWSON,0,2,1
59,DEAF SMITH,0,3,1
60,DELTA,0,0,0
61,DENTON,3,31,8
62,DEWITT,0,0,0
63,DICKENS,0,0,0
64,DIMMIT,0,0,1
65,DONLEY,0,1,0
66,DUVAL,0,0,0
67,EASTLAND,1,1,1
68,ECTOR,0,12,6
69,EDWARDS,0,0,0
70,ELLIS,1,14,2
71,EL PASO,5,38,15
72,ERATH,0,1,1
73,FALLS,0,1,1
74,FANNIN,1,4,0
75,FAYETTE,0,2,1
76,FISHER,0,1,0
77,FLOYD,0,0,1
78,FOARD,0,0,0
79,FORT BEND,7,30,29
80,FRANKLIN,0,1,0
81,FREESTONE,0,1,0
82,FRIO,0,0,1
83,GAINES,0,1,0
84,GALVESTON,2,23,8
85,GARZA,0,1,1
86,GILLESPIE,0,2,0
87,GLASSCOCK,0,0,0
88,GOLIAD,1,0,0
89,GONZALES,0,0,0
90,GRAY,0,1,0
91,GRAYSON,2,12,3
92,GREGG,0,3,13
93,GRIMES,2,4,2
94,GUADALUPE,0,4,7
95,HALE,0,5,0
96,HALL,0,0,0
97,HAMILTON,0,1,2
98,HANSFORD,0,0,0
99,HARDEMAN,0,2,0
100,HARDIN,0,7,5
101,HARRIS,25,183,157
102,HARRISON,1,9,1
103,HARTLEY,0,0,0
104,HASKELL,0,1,0
105,HAYS,1,5,7
106,HEMPHILL,0,1,0
107,HENDERSON,1,10,5
108,HIDALGO,2,18,6
109,HILL,0,1,1
110,HOCKLEY,0,4,2
111,HOOD,0,0,3
112,HOPKINS,0,3,1
113,HOUSTON,0,4,0
114,HOWARD,0,4,2
115,HUDSPETH,0,0,0
116,HUNT,0,15,3
117,HUTCHINSON,1,4,0
118,IRION,0,0,0
119,JACK,0,3,1
120,JACKSON,0,5,0
121,JASPER,1,7,3
122,JEFF DAVIS,0,0,0
123,JEFFERSON,9,37,17
124,JIM HOGG,0,0,0
125,JIM WELLS,0,0,1
126,JOHNSON,0,8,8
127,JONES,0,1,0
128,KARNES,0,0,0
129,KAUFMAN,0,11,3
130,KENDALL,0,2,2
131,KENEDY,0,0,0
132,KENT,0,0,0
133,KERR,0,3,1
134,KIMBLE,0,1,0
135,KING,0,0,0
136,KINNEY,0,1,1
137,KLEBERG,0,4,0
138,KNOX,0,0,0
139,LAMAR,1,2,1
140,LAMB,1,0,0
141,LAMPASAS,0,0,0
142,LASALLE,0,0,1
143,LAVACA,0,2,1
144,LEE,0,1,3
145,LEON,0,0,3
146,LIBERTY,2,4,0
147,LIMESTONE,0,1,2
148,LIPSCOMB,0,0,0
149,LIVE OAK,0,0,0
150,LLANO,0,0,4
151,LOVING,0,0,0
152,LUBBOCK,4,50,6
153,LYNN,0,1,0
154,MADISON,0,3,1
155,MARION,0,1,0
156,MARTIN,0,0,0
157,MASON,0,1,0
158,MATAGORDA,2,4,0
159,MAVERICK,0,1,0
160,MCCULLOCH,0,2,0
161,MCLENNAN,2,20,14
162,MCMULLEN,0,0,0
163,MEDINA,0,3,1
164,MENARD,0,0,0
165,MIDLAND,0,18,5
166,MILAM,1,3,0
167,MILLS,0,1,1
168,MITCHELL,0,3,0
169,MONTAGUE,0,6,0
170,MONTGOMERY,3,22,11
171,MOORE,0,0,0
172,MORRIS,0,1,1
173,MOTLEY,0,0,0
174,NACOGDOCHES,1,8,3
175,NAVARRO,0,2,1
176,NEWTON,0,1,0
177,NOLAN,0,4,0
178,NUECES,2,19,7
179,OCHILTREE,0,1,0
180,OLDHAM,0,2,0
181,ORANGE,3,23,2
182,PALO PINTO,0,2,0
183,PANOLA,0,3,1
184,PARKER,0,3,1
185,PARMER,1,0,0
186,PECOS,0,2,0
187,POLK,0,8,2
188,POTTER,1,22,0
189,PRESIDIO,0,0,0
190,RAINS,0,2,0
191,RANDALL,2,28,2
192,REAGAN,0,0,0
193,REAL,0,0,0
194,RED RIVER,0,1,0
195,REEVES,0,0,1
196,REFUGIO,0,1,1
197,ROBERTS,0,0,0
198,ROBERTSON,0,0,2
199,ROCKWALL,0,8,1
200,RUNNELS,0,2,0
201,RUSK,0,6,3
202,SABINE,0,0,0
203,SAN AUGUSTINE,0,2,0
204,SAN JACINTO,2,1,4
205,SAN PATRICIO,0,0,1
206,SAN SABA,0,0,0
207,SCHLEICHER,0,1,0
208,SCURRY,1,2,0
209,SHACKELFORD,0,0,0
210,SHELBY,0,2,2
211,SHERMAN,0,1,0
212,SMITH,3,14,10
213,SOMERVELL,0,1,0
214,STARR,0,2,0
215,STEPHENS,0,1,0
216,STERLING,0,0,0
217,STONEWALL,0,0,0
218,SUTTON,1,5,0
219,SWISHER,0,1,0
220,TARRANT,6,79,34
221,TAYLOR,1,27,2
222,TERRELL,0,0,0
223,TERRY,0,2,0
224,THROCKMORTON,0,0,0
225,TITUS,0,2,1
226,TOM GREEN,0,24,4
227,TRAVIS,3,46,32
228,TRINITY,1,1,1
229,TYLER,0,3,1
230,UPSHUR,0,2,2
231,UPTON,0,0,0
232,UVALDE,0,2,0
233,VAL VERDE,0,2,3
234,VAN ZANDT,0,9,3
235,VICTORIA,5,13,1
236,WALKER,0,5,0
237,WALLER,0,1,3
238,WARD,0,1,0
239,WASHINGTON,2,4,0
240,WEBB,2,5,2
241,WHARTON,0,3,0
242,WHEELER,0,0,0
243,WICHITA,0,14,6
244,WILBARGER,0,0,0
245,WILLACY,0,1,0
246,WILLIAMSON,1,25,18
247,WILSON,0,3,1
248,WINKLER,0,1,0
249,WISE,1,3,2
250,WOOD,2,9,1
251,YOAKUM,0,1,1
252,YOUNG,0,6,0
253,ZAPATA,1,0,0
254,ZAVALA,0,0,3
255,UNKNOWN,0,0,0
256,OUT OF STATE,19,32,12
257,STATE TOTAL,213,1629,758
