,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*,Intakes,Completed Investigations,Confirmed Investigations,Total,Hispanic,Anglo,African American,Asian,Other*,Native American,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Totals,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Families,Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2010,Subsequently Confirmed Victims in Fiscal Years 2010 - 2015,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***,Other *,Other**,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique  Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving  In-Home Services,Children Receiving In-Home Purchased Services,Children in Substitute Care,Children Receiving Sub-Care Purchased Services,Children in Foster Care,Children in Paid Foster Care,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity,TOTALS,STAR*,CYD*,SYSN*,TFTS,CBCAP,HOPES,CBFS,HIP
0,ANDERSON,004,4512,8647,297,208,135,64,8,6,2,11551,2829,6508,1686,76,416,36,650,528,6,437,130,29.7%,272,32,3,307,70.3%,437,384,28,25,720,490,426,94,626,36,11551,214,18.5,437,130,29.7%,,,44,115,6,5.2%,84,24,11551,147,12.7,44,82,69,101,,,,,,,,,,,,,,,,104,0,48,15,15,9,30,0,5,0,159,48,151,45,101,99,8906,10,899,1,12,10,3,11551,0,12,0,0,0,12,47,98,97,0,1,,,,,
1,ANDREWS,009,903,1917,48,21,9,2,0,0,0,4614,2934,1518,55,18,66,23,234,195,3,145,34,23.4%,100,10,1,111,76.6%,145,112,21,12,247,180,164,67,180,20,4614,55,11.9,145,34,23.4%,1,0,29,86,5,5.8%,45,8,4614,41,8.9,21,15,27,28,,,,,,,,,,,,,,,,32,0,21,0,1,2,9,0,0,0,24,3,42,15,28,27,3604,4,374,0,0,1,1,4614,0,6,0,0,0,6,30,7,7,0,0,,,,,
2,ANGELINA,005,9933,13787,497,386,265,116,260,243,42,23755,7585,11609,3682,236,578,65,1121,920,9,817,207,25.3%,487,123,0,610,74.7%,817,698,69,50,1376,985,755,230,1146,77,23755,338,14.2,817,207,25.3%,2,0,106,288,8,2.8%,131,36,23755,205,8.6,91,122,75,129,,,,,,,,,,,,,,,,166,0,90,13,7,9,62,0,15,4,352,162,197,113,129,127,18360,36,3398,4,48,11,1,23755,2,37,0,0,0,39,102,349,326,0,23,,,,,
3,ARANSAS,011,2442,7142,242,171,109,49,0,0,0,4533,2011,2273,57,86,91,15,388,338,0,268,88,32.8%,149,26,5,180,67.2%,268,180,69,19,476,319,263,165,311,26,4533,148,32.6,268,88,32.8%,,,95,228,13,5.7%,191,31,4533,100,22.1,31,28,64,71,,,,,,,,,,,,,,,,82,0,33,7,18,8,26,0,2,1,259,72,92,25,71,71,3489,6,477,0,0,0,1,4533,0,10,0,0,0,10,32,53,53,0,0,,,,,
4,ARCHER,002,624,1674,86,64,51,21,1,1,0,2085,282,1749,12,0,34,8,51,46,0,44,8,18.2%,35,1,0,36,81.8%,44,37,5,2,69,57,55,11,58,2,2085,12,5.8,44,8,18.2%,,,5,13,0,0.0%,2,0,2085,6,2.9,3,3,3,6,,,,,,,,,,,,,,,,4,0,3,0,0,0,3,0,0,0,7,3,6,1,6,6,1478,5,234,0,0,1,2,2085,0,6,0,0,0,6,13,3,3,0,0,,,,,
5,ARMSTRONG,001,127,500,3,1,1,0,0,0,0,369,48,308,4,0,6,3,14,11,0,8,2,25.0%,6,0,0,6,75.0%,8,5,2,1,11,8,8,6,5,1,369,3,8.1,8,2,25.0%,,,1,1,0,0.0%,0,0,369,1,2.7,1,0,1,1,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,266,0,0,0,0,4,1,369,0,3,0,0,0,3,7,2,2,0,0,,,,,
6,ATASCOSA,008,3432,7549,192,152,51,17,2,2,0,13517,9867,3436,78,24,91,21,624,482,5,385,111,28.8%,270,4,0,274,71.2%,385,297,65,23,698,471,466,189,509,38,13517,209,15.5,385,111,28.8%,1,0,96,292,9,3.1%,205,42,13517,214,15.8,52,128,73,115,,,,,,,,,,,,,,,,165,0,53,5,31,52,43,0,2,2,342,61,201,46,115,114,10095,8,629,2,24,0,3,13517,0,17,0,0,0,17,61,167,167,0,0,,,,,
7,AUSTIN,006,1910,5711,140,83,33,18,4,2,0,7706,3059,3658,765,29,169,26,277,218,3,164,27,16.5%,127,8,2,137,83.5%,164,145,14,5,267,227,204,29,238,8,7706,36,4.7,164,27,16.5%,,,25,56,0,0.0%,33,3,7706,27,3.5,7,18,9,8,,,,,,,,,,,,,,,,24,0,7,4,2,1,12,0,0,2,62,19,27,13,8,7,5768,12,983,0,0,3,2,7706,0,5,0,0,2,7,115,129,99,0,30,,,,,
8,BAILEY,001,407,1133,79,69,60,25,0,0,0,2391,1838,520,11,7,10,5,73,66,0,51,5,9.8%,42,1,3,46,90.2%,51,49,1,1,89,78,73,4,85,3,2391,9,3.8,51,5,9.8%,,,6,19,2,10.5%,21,6,2391,22,9.2,3,7,8,9,,,,,,,,,,,,,,,,12,0,3,0,1,0,8,0,0,0,31,9,15,6,9,9,1901,3,158,0,0,3,0,2391,0,5,0,0,0,5,27,22,22,0,0,,,,,
9,BANDERA,008,1840,5608,140,100,59,20,0,0,0,3914,1155,2648,28,5,61,17,226,166,0,130,31,23.8%,90,8,1,99,76.2%,130,113,16,1,195,145,132,32,163,3,3914,46,11.8,130,31,23.8%,,,22,55,5,9.1%,45,11,3914,41,10.5,6,14,29,35,,,,,,,,,,,,,,,,30,0,6,4,14,11,2,0,2,0,63,13,43,18,35,34,2832,5,431,0,0,0,1,3914,0,13,1,0,0,14,178,103,80,1,22,,,,,
